route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
T2,ripa di p.ta ticinese via d'adda,10850,28,45.4486702217635,9.16037948835503
T2,ponte delle milizie,10845,29,45.4482702328788,9.15834748001891
T2,via l. il moro via pestalozzi,10836,30,45.4477521753616,9.15602149718539
T2,"via l. il moro, 25",10537,31,45.4466041844549,9.15062258010518
T2,via l. il moro cavalcavia don milani,10530,32,45.4455882184033,9.14587065565397
T2,via l. il moro via guintellino,10523,33,45.4449042130434,9.14269074573845
T2,p.le negrelli,17923,34,45.4442212591256,9.13928712610291
T2,p.le negrelli,10519,35,45.4440061605077,9.13987569320092
T19,p.le cacciatori delle alpi,10469,1,45.5043594659156,9.1369244496754
T19,v.le espinasse via palizzi,10699,2,45.5030075254349,9.13808843772913
T19,p.le santorre di santarosa,10701,3,45.5009395480359,9.13953638340741
T19,v.le espinasse via nuvolone,10708,4,45.498007593506,9.14157839367364
T19,v.le espinasse via casella,10682,5,45.4954306156009,9.14337940876164
T19,v.le espinasse p.le accursio,10686,6,45.4935436351715,9.14468643501001
T19,v.le certosa via grosotto,10689,7,45.4917016832332,9.14757140211411
T19,v.le certosa v.le serra,10694,8,45.4901136882784,9.15105531013437
T19,p.za firenze,10978,9,45.4878336994227,9.15607230631443
T19,c.so sempione via e. filiberto,10945,10,45.4861337533816,9.15839526654548
T19,c.so sempione via arona,10953,11,45.4842287741834,9.16057426487559
T19,domodossola fn m5,10960,12,45.4824267848038,9.16295125215183
T19,domodossola fn m5,17550,13,45.4814457851761,9.1618512563932
T19,v.le boezio,17552,14,45.4797148517667,9.16017229785411
T19,p.za sei febbraio,10947,15,45.4770999025595,9.1606692693743
T19,via monti via savoia cavalleria,10932,16,45.4747409024801,9.16404327992962
T19,l.go quinto alpini,11253,17,45.4725639526005,9.16692324515614
T19,via venti settembre,11256,18,45.4701829654469,9.17000919383641
T19,p.za virgilio,11263,19,45.4682979880739,9.17253019052481
T19,l.go d'ancona,11231,20,45.4661470386711,9.17536221980451
T19,c.so magenta via nirone,11241,21,45.4658080335444,9.17801112735125
T19,via meravigli,11485,22,45.4656910495222,9.18172709432447
T19,cordusio m1,11492,23,45.4654820778596,9.18584806291649
T19,duomo m1 m3,11500,24,45.4629681261669,9.18840204168583
T19,missori m3,11515,25,45.4607571488549,9.19040402505794
T19,via larga,11794,26,45.4627781401537,9.19456395380851
T19,l.go augusto,11798,27,45.462537160389,9.19785491803363
T19,palazzo di giustizia,11816,28,45.4623001537483,9.20077685716806
T19,c.so p.ta vittoria (camera del lavoro),11823,29,45.4622751421515,9.20382684463351
T19,p.za cinque giornate,12090,30,45.4617641907139,9.20736082464877
T19,v.le premuda,12092,31,45.4653281609673,9.20731379722101
T19,p.za tricolore,12129,32,45.4675080868562,9.20712477875138
T19,v.le piave,12133,33,45.4716880863354,9.2067187721618
T19,via bixio,12139,34,45.472360071479,9.21096167847399
T19,p.za adelaide di savoia,12145,35,45.4727820883379,9.21414164958944
T19,p.za ascoli,12163,36,45.473259060136,9.21669865313967
T19,p.za carlo erba,12415,37,45.4748930555659,9.22085956668486
T19,v.le romagna via pascoli,12429,38,45.4758760742162,9.2231975335897
T19,via pascoli p.za l. da vinci,12435,39,45.4767780499947,9.22551252294448
T19,p.za leonardo da vinci (politecnico),12489,40,45.4790960262013,9.22570249142784
T19,via bassini via ponzio,12494,41,45.4792640299711,9.22968943496716
T19,via bassini via golgi,12505,42,45.4802360373179,9.23396438808537
T19,via valvassori peroni,12703,43,45.4811950703495,9.23634733579253
T19,stazione lambrate m2,12709,44,45.4849009662731,9.23647233888519
T19,stazione lambrate m2,12707,45,45.4845769770016,9.23588831194952
T16,san siro stadio m5,17469,1,45.476751782095,9.12209478280374
T16,p.za axum (stadio meazza),17470,2,45.4760977719909,9.1230797718119
T16,san siro ippodromo m5,17471,3,45.4760468137223,9.12834666767268
T16,p.za esquilino,17472,4,45.4759897877963,9.13168864667821
T16,segesta m5,17473,5,45.4757018140262,9.13824756204377
T16,p.za m.te falterona,10612,6,45.474521857314,9.13979758762806
T16,via dolci via ricciarelli,10619,7,45.4724369076496,9.14253354441802
T16,p.le brescia (osp. san luca),10629,8,45.4697928790411,9.14602054460313
T16,via faruffini via correggio,10632,9,45.468325895025,9.14796750605465
T16,de angeli m1,10633,10,45.4670289163551,9.14967847533622
T16,p.za piemonte,10906,11,45.4669149845136,9.15408646915881
T16,c.so vercelli via cherubini,10881,12,45.466562026122,9.15889140217736
T16,c.so vercelli l.go settimio severo,10888,13,45.4663280288142,9.16210833911192
T16,p.le baracca,10898,14,45.4661519678759,9.16446435135818
T16,s. maria delle grazie,11216,15,45.4656640526553,9.17010428445648
T16,l.go d'ancona,11230,16,45.465809038762,9.17514313940652
T16,c.so magenta via nirone,11241,17,45.4658080335444,9.17801112735125
T16,via meravigli,11485,18,45.4656910495222,9.18172709432447
T16,cordusio m1,11492,19,45.4654820778596,9.18584806291649
T16,duomo m1 m3,11500,20,45.4629681261669,9.18840204168583
T16,missori m3,11510,21,45.4602031189369,9.18884205885316
T16,c.so p.ta romana via s. sofia,11519,22,45.4577181934169,9.19309401758225
T16,crocetta m3,11762,23,45.4561432012332,9.19657697523771
T16,via lamarmora via commenda,11769,24,45.4565492041264,9.19905494183543
T16,via lamarmora,11775,25,45.4568872330591,9.20123692043224
T16,v.le monte nero via bergamo,11827,26,45.4575261942109,9.20624185619175
T16,via bergamo,12052,27,45.456450235954,9.20890881553843
T16,via cadore via bergamo,12056,28,45.4556992639624,9.21080277628161
T16,via comelico,12062,29,45.4546962783859,9.2132747843636
T16,v.le umbria via comelico,12065,30,45.453478279848,9.21450577604497
T16,via tito livio,12069,31,45.4519863126009,9.21598075571388
T16,p.za salgari,12082,32,45.4503263071614,9.22006670281871
T16,p.le cuoco,12382,33,45.4512083451425,9.22497268533444
T16,via del turchino via maspero,12383,34,45.4518023808703,9.2273505769189
T16,via varsavia via m.te velino,12387,35,45.4526053722387,9.22921662441498
T16,via monte velino,12385,36,45.4530633566515,9.22892456064416
T15,guido rossa,18076,1,45.3769384070206,9.15001487046494
T15,v.le liguria,18084,2,45.3786184235079,9.14921968323882
T15,v.le liguria,18082,3,45.3806451153323,9.15515044864768
T15,viale lonni,18080,4,45.3818731072217,9.15909765201062
T15,romagna - cabrini,18078,5,45.3828335726983,9.16199998970044
T15,v.le romagna (rozzano),11060,6,45.3834499255241,9.16727176211086
T15,via grandi via buozzi (rozzano),11063,7,45.3839359254475,9.17061071491967
T15,via curiel via isonzo (rozzano),11064,8,45.3891068635032,9.17208963372403
T15,via curiel via lambro (rozzano),11066,9,45.3942608751753,9.17302263590518
T15,via curiel via maggi (rozzano),11087,10,45.3982208021848,9.17345660238319
T15,via dei missaglia via baroni,11093,11,45.4038397394779,9.17463755430778
T15,via dei missaglia (scuola santarosa),11095,12,45.4066026758483,9.17477049712377
T15,via dei missaglia via saponaro,11078,13,45.4101916652732,9.1744125037394
T15,via dei missaglia via feraboli,11081,14,45.4141915949451,9.17486546946645
T15,via dei missaglia via de ruggiero,11105,15,45.4182505834287,9.17547740717463
T15,via dei missaglia (isola anita),11108,16,45.4227775220961,9.17694839431006
T15,via dei missaglia via s. abbondio,11110,17,45.4244965275307,9.17709236395569
T15,via dei missaglia via boifava,11111,18,45.4266535089838,9.17728535607377
T15,p.za abbiategrasso m2,11131,19,45.4294264517323,9.17760135984553
T15,medeghino,15365,20,45.4314244569455,9.18049431482602
T15,agrippa,15367,21,45.4327384541177,9.18305924576066
T15,volvinio,15369,22,45.4346254221871,9.18371022241862
T15,g. da cermenate,15371,23,45.4377263542351,9.18345120583689
T15,pezzotti,15373,24,45.4412193221179,9.18318024809278
T15,tibaldi,15375,25,45.4444143007887,9.18342317762112
T15,giambologna,15377,26,45.4456793027006,9.18466320208938
T15,castelbarco,15379,27,45.4487592760277,9.18562013745675
T15,porta lodovica,11459,28,45.4515662153166,9.18659209744286
T15,c.so italia via lusardi,11463,29,45.4536352264076,9.18701711289385
T15,c.so italia via s. sofia,11464,30,45.4559111957625,9.18745908571606
T15,c.so italia (missori m3),11499,31,45.4601811522486,9.18824606312246
T15,duomo m1 m3,11512,32,45.4632121245754,9.18972297119549
T14,lorenteggio,12984,1,45.4417471615128,9.11699204465723
T14,via gonin via m. di lorenteggio,10199,2,45.4409311663186,9.11875000342125
T14,via gonin via giordani,10204,3,45.4424781741286,9.12352397870908
T14,san cristoforo fs,10335,4,45.4447261533902,9.13043188166146
T14,via giambellino via sanniti,10337,5,45.445125140236,9.13173483298613
T14,via giambellino via odazio,10342,6,45.4460931463901,9.13465879897272
T14,l.go gelsomini l.go giambellino,10539,7,45.4476541462602,9.13944169343484
T14,via brunelleschi,10547,8,45.44896716484,9.14352771017477
T14,via giambellino via vignoli,10561,9,45.4505121651993,9.14835555256929
T14,via giambellino via tolstoj,10564,10,45.4512671075312,9.15064956934592
T14,p.za napoli,10825,11,45.452304163843,9.15386453212647
T14,via solari via stendhal,10846,12,45.4539021387673,9.15878948164598
T14,p.za del rosario,10854,13,45.4552601578658,9.16301837711347
T14,via montevideo,11172,14,45.4562821076961,9.16617031178559
T14,v.le coni zugna via solari,11175,15,45.4570281513848,9.16900734968246
T14,p.le cantore,11187,16,45.4553101603712,9.17207924366631
T14,c.so genova via ariberto,11200,17,45.4571441588258,9.17546324662997
T14,p.za resistenza partigiana,11234,18,45.4584971293284,9.17748517901606
T14,carrobbio,11482,19,45.4600781094434,9.18090813483
T14,via torino via s. maria valle,11486,20,45.4606821324187,9.18315713265118
T14,via torino via palla,14188,21,45.4615401046536,9.18558310080378
T14,duomo m1 m3,11504,22,45.4634760898664,9.18799900708334
T14,via orefici p.za cordusio,11491,23,45.4645690826372,9.18722703026785
T14,via cusani,11548,24,45.4695290193298,9.18523003067947
T14,lanza m2,11542,25,45.4721919764079,9.18196806354204
T14,arena,11533,26,45.4752289384666,9.18157005780353
T14,p.za lega lombarda,15689,27,45.4780189382899,9.18052604890366
T14,via bramante via giannone,11567,28,45.4795638862716,9.17991902011311
T14,via bramante via sarpi,11568,29,45.481550886961,9.17908006892279
T14,p.le cim.monumentale via bramante,11313,30,45.483873822918,9.17769606473353
T14,cenisio m5,11323,31,45.4875027900256,9.17297707636552
T14,via cenisio via induno,11321,32,45.4876207649711,9.16891512395899
T14,p.za diocleziano,11008,33,45.4877107662017,9.16493021149474
T14,p.za caneva,11001,34,45.4877917770698,9.16144724098829
T14,p.za firenze,10988,35,45.4879177747983,9.15704431555813
T14,v.le certosa v.le serra,10965,36,45.4899016897828,9.15178236350315
T14,v.le certosa via grosotto,10688,37,45.4916266426338,9.14797834784699
T14,p.le accursio,14998,38,45.4928266349142,9.14537342326833
T14,v.le certosa via casella,10678,39,45.494587583498,9.14147042795874
T14,v.le certosa via giannini,10697,40,45.4961756171235,9.1380095105751
T14,v.le certosa via tibullo,10466,41,45.4981525272304,9.13360354389146
T14,v.le certosa via gradisca,10462,42,45.5001415193143,9.1292255833263
T14,v.le certosa via cormons,10453,43,45.5012654915251,9.12673860001937
T14,v.le certosa via giorgini,10448,44,45.5022354983323,9.1246436205356
T14,v.le certosa (cimitero  maggiore),10314,45,45.503367447254,9.1221356243195
T14,p.le cimitero maggiore,10308,46,45.5032824444863,9.12065262597097
T14,p.le cimitero maggiore,10305,47,45.5029284804319,9.12139264155983
T12,roserio (ospedale sacco),10323,1,45.5173373311372,9.11977955197985
T12,via grassi,10471,2,45.5138023481848,9.12555352214887
T12,l.go boccioni,10473,3,45.5115923809148,9.12805852429265
T12,via palizzi via mambretti,10481,4,45.5083878407097,9.13521024298278
T12,certosa s,10725,5,45.507802464068,9.13722344127792
T12,v.le espinasse via palizzi,10703,6,45.5028065182225,9.13868843612033
T12,p.le santorre di santarosa,10701,7,45.5009395480359,9.13953638340741
T12,via c. marcello via m. altissimo,14904,8,45.501999526465,9.14269138367655
T12,via c. marcello (villapizzone),10716,9,45.5011545456518,9.14542931894763
T12,via c. marcello via grugnola,10721,10,45.5000705687596,9.14767627894016
T12,p.za castelli,10723,11,45.4989775733038,9.15004133974957
T12,via mac mahon via bramantino,11013,12,45.4978226089683,9.15267928826349
T12,via mac mahon via artieri,11015,13,45.4962976437695,9.15469923029338
T12,via mac mahon v.le m.te ceneri,10992,14,45.4942746576656,9.15734325340075
T12,via mac mahon via caracciolo,11003,15,45.4911053253758,9.16147979928111
T12,via mac mahon via p. eugenio,11006,16,45.4894197761735,9.16372816471983
T12,p.za diocleziano,11009,17,45.4880347887544,9.16552415283711
T12,via cenisio via induno,11320,18,45.4875207997719,9.16832215008936
T12,cenisio m5,11322,19,45.4874027782905,9.17305506951547
T12,p.le cim.monumentale via bramante,15049,20,45.4836588306582,9.17775105023752
T12,via bramante via sarpi,11312,21,45.4818128563653,9.1788240777639
T12,p.za lega lombarda,11566,22,45.4779029318814,9.18041405373476
T12,arena,11532,23,45.4753719554926,9.18139000343162
T12,lanza m2,11541,24,45.471997998978,9.18204909363292
T12,via cusani,11547,25,45.4693850250889,9.18517607636754
T12,cordusio m1,11497,26,45.4662150396436,9.18615304868802
T12,duomo m1 m3,11500,27,45.4629681261669,9.18840204168583
T12,missori m3,11515,28,45.4607571488549,9.19040402505794
T12,via larga,11794,29,45.4627781401537,9.19456395380851
T12,l.go augusto,11798,30,45.462537160389,9.19785491803363
T12,palazzo di giustizia,11816,31,45.4623001537483,9.20077685716806
T12,c.so p.ta vittoria (camera del lavoro),11823,32,45.4622751421515,9.20382684463351
T12,p.za cinque giornate,12094,33,45.4622111782892,9.20875575639384
